granularmode,GranularSetting,GranularTotal,heading,servicetype,speedmph,spreaderstatus,vehicleid,xcoord,ycoord,reporttimeepoch
C,100,650782,180,Spreading,11,S,H60,-88.00863,41.77302,1643969164
C,0,1004646,0,Idle,0,O,H67,-88.03997,41.92118,1643969164
C,250,685399,312,Spreading,6,S,H93,-88.14242,41.85777,1643969165
M,0,30939,182,In Transit,42,O,H74,-88.10398,41.75892,1643969167
C,0,76486,168,In Transit,29,O,H85,-88.24137,41.7847,1643969167
M,0,30939,178,Idle,0,O,H74,-88.1039,41.7557,1643969195
C,100,685427,358,Spreading,20,S,H93,-88.14248,41.85985,1643969195
C,0,76491,178,Idle,0,O,H85,-88.24085,41.78173,1643969196
C,0,1004646,0,Idle,0,O,H67,-88.03998,41.92118,1643969225
C,100,685434,358,Spreading,20,S,H93,-88.1425,41.8625,1643969225
C,0,591206,126,In Transit,6,O,H69,-87.93588,41.77437,1643969226
M,0,30939,178,In Transit,38,O,H74,-88.10377,41.75365,1643969226
C,0,76491,184,In Transit,2,O,H85,-88.24083,41.78172,1643969227
C,0,1004646,0,Idle,0,O,H67,-88.03997,41.92117,1643969253
C,0,591207,176,In Transit,35,O,H69,-87.93575,41.77245,1643969253
