SpeedMetersPerSecond,Location_Longitude,HeadingDegrees,VehicleId,Location_Latitude,ReportTimeDate
13,-88.17975,88,S 8,41.88582,2/4/2021 18:12
13,-88.1764,88,S 8,41.88585,2/4/2021 18:12
0,-88.01085,2,V2,41.83462,2/4/2021 18:12
0,-88.01085,2,V2,41.83462,2/4/2021 18:12
0,-88.01085,356,V2,41.83467,2/4/2021 18:12
0,-88.1889,182,S 2,41.80222,2/4/2021 18:13
1,-88.18892,182,S 2,41.80205,2/4/2021 18:13
9,-88.03403,256,S 3,41.7852,2/4/2021 18:13
0,-88.03678,258,S 3,41.7849,2/4/2021 18:13
0,-88.03678,258,S 3,41.7849,2/4/2021 18:13
9,-88.03495,260,S 4,41.78503,2/4/2021 18:13
0,-88.0368,260,S 4,41.78482,2/4/2021 18:13
10,-87.93955,172,G 10,41.96273,2/4/2021 18:13
6,-87.93953,182,G 10,41.96095,2/4/2021 18:13
1,-88.26577,70,G 11,41.976,2/4/2021 18:13
0,-88.18888,184,S 7,41.80203,2/4/2021 18:13
1,-88.18888,182,S 7,41.8019,2/4/2021 18:13
14,-88.1695,88,S 8,41.886,2/4/2021 18:13
14,-88.16588,86,S 8,41.8861,2/4/2021 18:13
0,-88.2659,90,V1,41.97595,2/4/2021 18:13
10,-88.01082,358,V2,41.8359,2/4/2021 18:13
1,-88.01105,358,V2,41.83757,2/4/2021 18:13
10,-88.18905,184,S 2,41.80068,2/4/2021 18:14
12,-88.18853,164,S 2,41.79662,2/4/2021 18:14
10,-88.0387,262,S 3,41.78472,2/4/2021 18:14
0,-88.03692,258,S 4,41.78483,2/4/2021 18:14
9,-88.03862,260,S 4,41.78467,2/4/2021 18:14
2,-87.9394,344,G 10,41.95992,2/4/2021 18:14
0,-87.93947,358,G 10,41.96062,2/4/2021 18:14
0,-87.93947,358,G 10,41.96062,2/4/2021 18:14
0,-87.93947,358,G 10,41.96062,2/4/2021 18:14
4,-88.26335,62,G 11,41.97685,2/4/2021 18:14
11,-88.26093,86,G 11,41.97655,2/4/2021 18:14
10,-88.189,184,S 7,41.80068,2/4/2021 18:14
12,-88.18852,162,S 7,41.79665,2/4/2021 18:14
14,-88.16027,64,S 8,41.88663,2/4/2021 18:14
12,-88.15755,62,S 8,41.8878,2/4/2021 18:14
8,-88.2639,64,V1,41.97625,2/4/2021 18:14
13,-88.261,86,V1,41.97653,2/4/2021 18:14
2,-88.0113,170,V2,41.83772,2/4/2021 18:14
8,-88.01113,178,V2,41.83393,2/4/2021 18:14
4,-88.14552,110,V3,41.86545,2/4/2021 18:14
5,-88.14363,82,V3,41.86547,2/4/2021 18:14
13,-88.18768,162,S 2,41.79437,2/4/2021 18:15
12,-88.18568,158,S 2,41.79032,2/4/2021 18:15
9,-88.04117,262,S 3,41.78448,2/4/2021 18:15
10,-88.04603,272,S 3,41.78458,2/4/2021 18:15
9,-88.04222,270,S 4,41.78438,2/4/2021 18:15
10,-88.04593,272,S 4,41.78452,2/4/2021 18:15
13,-88.25772,80,G 11,41.97692,2/4/2021 18:15
14,-88.25125,92,G 11,41.97717,2/4/2021 18:15
13,-88.18768,162,S 7,41.7944,2/4/2021 18:15
12,-88.18565,158,S 7,41.79033,2/4/2021 18:15
5,-88.1518,88,S 8,41.88812,2/4/2021 18:15
11,-88.15035,92,S 8,41.88807,2/4/2021 18:15
14,-88.25728,82,V1,41.97692,2/4/2021 18:15
14,-88.25055,92,V1,41.97713,2/4/2021 18:15
0,-88.0109,176,V2,41.83148,2/4/2021 18:15
0,-88.0109,176,V2,41.83148,2/4/2021 18:15
0,-88.0109,176,V2,41.83148,2/4/2021 18:15
0,-88.0109,176,V2,41.83148,2/4/2021 18:15
1,-88.14293,166,V3,41.86413,2/4/2021 18:15
14,-88.14268,178,V3,41.86093,2/4/2021 18:15
1,-88.14268,180,V3,41.85957,2/4/2021 18:15
11,-88.1847,158,S 2,41.78833,2/4/2021 18:16
9,-88.18323,182,S 2,41.7845,2/4/2021 18:16
