SpeedMetersPerSecond,Location_Longitude,HeadingDegrees,VehicleId,Location_Latitude,ReportTimeDate
11,-87.9788,358,G 13,41.9683,2/4/2021 19:18
11,-87.9788,358,G 13,41.9683,2/4/2021 19:18
13,-87.97917,348,G 13,41.97268,2/4/2021 19:18
11,-88.0459,284,G 14,41.8891,2/4/2021 19:18
3,-88.049,22,G 14,41.89003,2/4/2021 19:18
12,-87.9796,356,G 13,41.97515,2/4/2021 19:19
11,-88.04598,10,G 14,41.89333,2/4/2021 19:19
13,-88.04537,10,G 14,41.89552,2/4/2021 19:19
8,-87.97988,356,G 13,41.98122,2/4/2021 19:20
8,-87.97988,356,G 13,41.98122,2/4/2021 19:20
10,-88.04417,14,G 14,41.89978,2/4/2021 19:20
11,-88.04355,12,G 14,41.90188,2/4/2021 19:20
9,-87.97993,358,G 13,41.98537,2/4/2021 19:21
9,-87.97993,358,G 13,41.98537,2/4/2021 19:21
0,-88.04303,6,G 14,41.90372,2/4/2021 19:21
0,-88.04303,6,G 14,41.90372,2/4/2021 19:21
0,-88.04303,6,G 14,41.90372,2/4/2021 19:21
10,-87.97962,2,G 13,41.99175,2/4/2021 19:22
10,-87.97962,2,G 13,41.99175,2/4/2021 19:22
6,-88.0427,10,G 14,41.90482,2/4/2021 19:22
12,-87.97967,180,G 13,41.99017,2/4/2021 19:23
7,-88.04233,10,G 14,41.90607,2/4/2021 19:23
11,-88.04227,358,G 14,41.90977,2/4/2021 19:23
8,-87.97997,188,G 13,41.98573,2/4/2021 19:24
8,-87.97997,188,G 13,41.98573,2/4/2021 19:24
11,-88.0423,358,G 14,41.91168,2/4/2021 19:24
11,-88.04228,0,G 14,41.91573,2/4/2021 19:24
1,-87.98007,190,G 13,41.98427,2/4/2021 19:25
1,-87.98007,190,G 13,41.98427,2/4/2021 19:25
8,-87.98007,174,G 13,41.98262,2/4/2021 19:25
12,-88.04232,358,G 14,41.9179,2/4/2021 19:25
13,-87.97975,178,G 13,41.9783,2/4/2021 19:26
13,-87.97975,178,G 13,41.9783,2/4/2021 19:26
13,-87.97963,176,G 13,41.9759,2/4/2021 19:26
5,-88.04198,88,G 14,41.92023,2/4/2021 19:26
5,-88.04018,14,G 14,41.9201,2/4/2021 19:26
0,-88.03988,162,G 14,41.92098,2/4/2021 19:26
0,-88.03988,162,G 14,41.92098,2/4/2021 19:26
0,-88.03988,162,G 14,41.92098,2/4/2021 19:26
0,-88.03988,162,G 14,41.92098,2/4/2021 19:26
0,-88.03988,162,G 14,41.92098,2/4/2021 19:26
0,-88.03988,162,G 14,41.92098,2/4/2021 19:26
0,-88.03988,162,G 14,41.92098,2/4/2021 19:26
0,-88.03988,162,G 14,41.92098,2/4/2021 19:26
12,-87.97888,172,G 13,41.97132,2/4/2021 19:27
8,-87.97887,180,G 13,41.96477,2/4/2021 19:28
8,-87.97887,180,G 13,41.96477,2/4/2021 19:28
0,-87.97883,176,G 13,41.96368,2/4/2021 19:29
1,-87.97888,184,G 13,41.96358,2/4/2021 19:29
1,-87.97888,184,G 13,41.96358,2/4/2021 19:29
10,-87.9789,182,G 13,41.96225,2/4/2021 19:30
11,-87.97888,180,G 13,41.95818,2/4/2021 19:30
0,-88.04015,180,G 14,41.92057,2/4/2021 19:30
1,-87.97875,38,G 13,41.95678,2/4/2021 19:31
2,-87.97878,10,G 13,41.95707,2/4/2021 19:31
0,-88.04018,166,G 14,41.92052,2/4/2021 19:31
0,-88.04018,166,G 14,41.92052,2/4/2021 19:31
11,-87.97877,0,G 13,41.96065,2/4/2021 19:32
0,-87.97877,0,G 13,41.9632,2/4/2021 19:32
0,-87.97877,0,G 13,41.9632,2/4/2021 19:32
5,-88.0405,280,G 14,41.91993,2/4/2021 19:32
3,-88.04205,290,G 14,41.92033,2/4/2021 19:32
1,-87.9788,0,G 13,41.96323,2/4/2021 19:33
10,-88.04245,180,G 14,41.91892,2/4/2021 19:33
10,-88.04245,178,G 14,41.91707,2/4/2021 19:33
10,-87.97873,358,G 13,41.96487,2/4/2021 19:34
11,-87.97873,0,G 13,41.96683,2/4/2021 19:34
11,-88.04243,180,G 14,41.9131,2/4/2021 19:34
10,-88.04242,178,G 14,41.91102,2/4/2021 19:34
11,-87.97878,356,G 13,41.97103,2/4/2021 19:35
13,-87.9793,348,G 13,41.9733,2/4/2021 19:35
10,-88.04237,178,G 14,41.90705,2/4/2021 19:35
6,-88.04257,192,G 14,41.90558,2/4/2021 19:35
13,-87.97963,358,G 13,41.97793,2/4/2021 19:36
12,-87.97972,358,G 13,41.98033,2/4/2021 19:36
0,-88.04292,196,G 14,41.90438,2/4/2021 19:36
0,-88.04292,196,G 14,41.90438,2/4/2021 19:36
10,-87.97993,0,G 13,41.98437,2/4/2021 19:37
13,-87.97985,2,G 13,41.98658,2/4/2021 19:37
1,-88.04292,192,G 14,41.90437,2/4/2021 19:37
10,-88.04378,190,G 14,41.90107,2/4/2021 19:37
10,-87.97962,0,G 13,41.99125,2/4/2021 19:38
6,-87.97947,4,G 13,41.99288,2/4/2021 19:38
12,-88.04438,190,G 14,41.89893,2/4/2021 19:38
13,-88.04577,190,G 14,41.89415,2/4/2021 19:38
0,-87.97983,172,G 13,41.9938,2/4/2021 19:39
0,-87.97983,172,G 13,41.9938,2/4/2021 19:39
14,-88.04738,224,G 14,41.89123,2/4/2021 19:39
0,-88.04903,222,G 14,41.89005,2/4/2021 19:39
1,-87.97985,180,G 13,41.99378,2/4/2021 19:40
12,-88.05217,270,G 14,41.89032,2/4/2021 19:40
0,-87.97953,188,G 13,41.99312,2/4/2021 19:41
0,-87.97952,192,G 13,41.99305,2/4/2021 19:41
11,-87.97967,182,G 13,41.99165,2/4/2021 19:41
10,-88.05678,266,G 14,41.89015,2/4/2021 19:41
12,-88.06122,266,G 14,41.89002,2/4/2021 19:41
9,-88.06352,270,G 14,41.88993,2/4/2021 19:41
12,-87.97975,180,G 13,41.9894,2/4/2021 19:42
10,-87.9801,182,G 13,41.98477,2/4/2021 19:42
10,-88.06832,292,G 14,41.89118,2/4/2021 19:42
10,-88.07087,288,G 14,41.89188,2/4/2021 19:42
0,-87.98012,182,G 13,41.98425,2/4/2021 19:43
10,-87.98012,178,G 13,41.98287,2/4/2021 19:43
11,-88.07615,288,G 14,41.89335,2/4/2021 19:43
