OID_,latitude,longitude,location,speed_mph,name,timestamp
5939,43.02889287,-76.15816949,"858 South Avenue, Syracuse, NY, 13207",8,SW 3,2/5/2022 13:21:23
5940,43.06567866,-76.15740823,"1116 North Salina Street, Syracuse, NY, 13208",2,SW 5,2/5/2022 13:21:24
5941,43.02779089,-76.17497853,"715 Crossett Street, Syracuse, NY, 13207",2,SW 2,2/5/2022 13:21:25
5942,43.01578138,-76.15990531,"318 Valley Drive, Syracuse, NY, 13207",5,SW 1,2/5/2022 13:21:28
5943,43.06564201,-76.15733634,"1116 North Salina Street, Syracuse, NY, 13208",2,SW 5,2/5/2022 13:21:29
5944,43.02916462,-76.15825451,"846 South Avenue, Syracuse, NY, 13207",6,SW 3,2/5/2022 13:21:31
5945,43.01575007,-76.15988946,"318 Valley Drive, Syracuse, NY, 13207",1,SW 1,2/5/2022 13:21:34
5946,43.01580939,-76.15991722,"318 Valley Drive, Syracuse, NY, 13207",3,SW 1,2/5/2022 13:21:39
5947,43.02765399,-76.17494737,"2001 South Geddes Street, Syracuse, NY, 13207",1,SW 2,2/5/2022 13:21:40
5948,43.02944573,-76.15835029,"834 South Avenue, Syracuse, NY, 13207",5,SW 3,2/5/2022 13:21:43
5949,43.06541531,-76.15712361,"1110 North Salina Street, Syracuse, NY, 13208",2,SW 5,2/5/2022 13:21:44
5950,43.01574837,-76.15990418,"318 Valley Drive, Syracuse, NY, 13207",2,SW 1,2/5/2022 13:21:45
5951,43.0157784,-76.15990557,"318 Valley Drive, Syracuse, NY, 13207",5,SW 1,2/5/2022 13:21:50
5952,43.06529587,-76.15695529,"1106 North Salina Street, Syracuse, NY, 13208",0,SW 5,2/5/2022 13:21:54
5953,43.02973492,-76.15843359,"824 South Avenue, Syracuse, NY, 13207",8,SW 3,2/5/2022 13:21:55
5954,43.01578311,-76.15991125,"318 Valley Drive, Syracuse, NY, 13207",5,SW 1,2/5/2022 13:21:56
5955,43.02736464,-76.17493367,"2005 South Geddes Street, Syracuse, NY, 13207",5,SW 2,2/5/2022 13:21:59
5956,43.06529556,-76.15698401,"1106 North Salina Street, Syracuse, NY, 13208",4,SW 5,2/5/2022 13:21:59
5957,43.02988805,-76.15849488,"824 South Avenue, Syracuse, NY, 13207",2,SW 3,2/5/2022 13:22:01
5958,43.01577913,-76.15990348,"318 Valley Drive, Syracuse, NY, 13207",5,SW 1,2/5/2022 13:22:02
5959,43.02992294,-76.15850937,"816 South Avenue, Syracuse, NY, 13207",1,SW 3,2/5/2022 13:22:06
5960,43.01583364,-76.15993179,"318 Valley Drive, Syracuse, NY, 13207",0,SW 1,2/5/2022 13:22:07
5961,43.02717668,-76.17491429,"2019 South Geddes Street, Syracuse, NY, 13207",2,SW 2,2/5/2022 13:22:10
5962,43.06507291,-76.15677166,"1100 North Salina Street, Syracuse, NY, 13208",5,SW 5,2/5/2022 13:22:10
5963,43.02999731,-76.1585567,"816 South Avenue, Syracuse, NY, 13207",7,SW 3,2/5/2022 13:22:11
